MW,AMW,Sv,Se,Sp,H%,C%,N%,O%,D/Dtr06,ZM1Kup,CENT,Psi_e_1,X2v,VE1_A,VE1_Dz(Z),Chi_Dz(p),SpMAD_Dz(p),ATSC2m,ATSC3m,ATSC3s,Eta_F,Eta_B,SpMax_EA(ed),SM08_EA,SsOH,SdO,SsCl,AMR,MLOGP2
123,11.182,6.132,10.764,7.398,63.6,27.3,0,0,0,28.654,4,0.42,1.482,1.946,1.819,0.736,2.259,14.204,17.552,3.664,-0.882,0,2,0,0,0,0,23.568,4.106
90.14,5.634,8.064,16.073,8.716,62.5,25,0,12.5,0,82.299,16,0.724,1.154,2.342,2.26,0.369,5.503,6.264,6.943,25.813,1.409,0,3.162,0,16.173,0,0,24.063,0.007
116.18,5.809,10.59,19.956,11.477,60,30,0,10,0,125.471,38,0.993,1.694,2.639,2.554,0.257,7.468,8.25,8.893,23.888,2.738,0.144,5.181,7.208,0,10.096,0,31.286,1.886
94.5,11.813,5.311,8.746,5.29,37.5,25,0,25,0,128.089,11,0.596,0.795,2.131,2.172,0.533,3.718,4.559,2.955,46.556,2.191,0.144,4.842,7.303,7.59,9.236,4.737,17.547,0.018
112.94,16.134,5.423,7.742,5.693,28.6,28.6,0,14.3,0,122.142,11,0.582,1.178,2.131,2.209,0.684,2.781,7.628,6.684,26.554,1.817,0.144,4.842,8.725,0,9.446,9.546,21.406,0.429
80.52,8.947,5.123,9.302,5.597,55.6,22.2,0,11.1,0,79.939,4,0.381,0.616,1.946,1.832,0.385,4.643,7.965,1.406,1.506,1.003,0,2,3.651,0,0,4.964,17.652,0.12
157.56,11.254,10.332,14.847,10.295,28.6,42.9,7.1,14.3,30.514,219.32,68,1.473,2.116,2.965,2.746,0.494,5.039,0.941,5.382,35.601,8.038,0.285,9.387,7.794,0,20.286,5.478,38.188,6.293
108.53,9.866,6.838,11.629,7.051,45.5,27.3,0,18.2,0,134.089,16,0.782,1.609,2.309,2.349,0.521,3.994,5.227,10.358,54.335,2.512,0.271,6.745,7.303,7.859,9.567,5.013,21.965,0.344
116.53,19.422,4.686,7.266,4.631,16.7,0,0,50,0,174.685,12,0.989,2.406,2.121,1.838,0.992,2.281,2.999,2.92,18.529,3.069,0.414,9,0,7.258,17.906,4.058,17.343,2.449
100,25,-99,4.586,7.954,0,0,0,75,0,153.969,6,0.613,0.842,1.932,-99,-99,0.846,1.685,0,0,2.565,0.182,4,0,0,25.625,0,-99,17.005
120.21,5.724,12.161,20.302,13.568,57.1,42.9,0,0,26.648,72,50,1.245,2.565,2.856,2.684,0.633,3.585,7.841,9.347,8.667,4.531,0.195,8.139,0,0,0,0,40.249,10.62
85.07,9.452,5.978,9.64,5.676,33.3,33.3,11.1,22.2,0,145.53,16,0.737,0.729,2.313,2.288,0.482,4.163,1.898,2.912,60.018,3.752,0.144,5.118,8.661,7.691,9.377,0,17.967,0.656
61.47,20.49,2.849,3.426,2.864,0,33.3,33.3,0,0,71.848,2,0.232,0.254,1.707,1.563,1.33,1.246,0.672,0,0,1.321,0,1,7.596,0,0,4.304,11.814,0.101
184.41,20.49,8.547,10.277,8.591,0,33.3,33.3,0,26,215.545,24,1.244,2.157,2.868,-99,0.521,4.195,6.402,6.42,9.234,5.611,0.318,7.583,0,0,0,15.957,39.017,5.614
84.18,4.677,9.161,17.302,10.568,66.7,33.3,0,0,14.4,24,0,0.857,2.121,2.449,-99,0.667,3,7.27,7.829,2.333,0,0,4,0,0,0,0,27.606,9.76
100.18,5.273,9.876,18.629,11.023,63.2,31.6,0,5.3,18.267,62.15,14,1.04,2.292,2.594,2.391,0.54,4.255,8.417,10.638,12.816,0.774,0.106,6.124,0,8.909,0,0,29.275,1.428
98.16,5.774,9.349,16.745,10.262,58.8,35.3,0,5.9,18.267,83.736,14,1.034,2.099,2.594,2.43,0.603,3.611,7.408,9.681,17.48,1.696,0.106,6.124,6.279,0,10.463,0,28.247,1.103
46.08,5.12,4.295,8.978,4.739,66.7,22.2,0,11.1,0,49.736,2,0.24,0.408,1.707,1.414,0.435,4.124,2.892,1.178,1.5,0.811,0,1,0.469,0,0,0,13.013,0.03
132.13,7.772,9.966,17.844,9.864,47.1,29.4,0,23.5,0,228.942,56,1.161,1.329,2.771,2.762,0.274,8.141,7.607,5.977,43.002,5.865,0.212,6.715,8.12,0,20.516,0,28.526,0.003
126.15,9.704,7.627,14.036,7.75,46.2,15.4,0,30.8,0,211.803,32,1.114,2.225,2.43,1.755,0.426,5.517,7.785,8.693,22.657,4.738,0.293,10.65,10.927,0,19.847,0,23.273,0.263
62.15,6.906,4.768,8.727,5.932,66.7,22.2,0,0,0,20.86,2,0.27,1.225,1.707,1.414,1.169,1.083,7.798,1.252,1.294,-0.412,0,1,9.348,0,0,0,19.187,0.713
78.15,7.815,5.482,10.055,6.386,60,20,0,10,0,68.596,6,0.455,2.225,1.932,1.414,1.221,1.494,9.39,3.504,26.421,1.14,0.182,4,9.348,0,9.556,0,20.559,0.101
87.14,5.809,7.843,14.964,8.506,60,26.7,6.7,6.7,0,95.381,16,0.707,1.413,2.309,2.342,0.432,4.707,5.863,5.721,16.544,2.879,0.271,6.745,5.382,0,10.069,0,24.259,0.032
56.92,4.743,-99,11.524,7.392,66.7,16.7,8.3,0,0,24.151,4,0.403,0.707,1.946,1.77,0.517,3.364,3.505,2.752,3.056,0.955,0,2,0.001,0,0,0,14.831,0.03
45.1,4.51,4.602,9.753,5.29,70,20,10,0,0,20.333,2,0.256,0.5,1.707,1.414,0.566,2.97,2.647,1.601,2.1,0.738,0,1,0.001,0,0,0,14.693,0.03
88.12,6.294,7.537,14.189,7.955,57.1,28.6,0,14.3,14.4,111.471,0,0.813,1.225,2.449,2.394,0.38,5.54,7.285,7.174,14,1.67,0,4,0.787,0,0,0,22.087,0.224
101.22,4.601,10.709,21.287,12.335,68.2,27.3,4.5,0,0,36.333,28,0.837,1.75,2.514,2.32,0.32,5.912,7.628,7.761,6.25,0.912,0,3.414,0.001,0,0,0,33.238,2.519
148.23,5.701,13.359,26.051,14.455,61.5,26.9,0,11.5,0,157.621,72,1.284,2.373,2.944,2.937,0.207,10.026,11.577,13.295,36.013,3.42,0.212,6.207,0.787,8.555,0,0,39.185,0.05
393.4,7.868,29.48,52.414,29.176,46,28,6,20,0,606.361,1357,4.218,5.666,4.598,4.528,0.13,16.728,20.005,28.811,226.376,26.476,0.925,7.614,8.58,44.116,54.06,0,87.2,2.809
292.28,8.119,21.449,38.007,20.977,44.4,27.8,5.6,22.2,0,468.831,540,3.085,3.996,3.992,4.308,0.164,13.279,13.661,19.776,191.453,18.016,0.713,7.619,8.356,34.466,42.22,0,62.946,1.845
88.12,6.294,7.537,14.189,7.955,57.1,28.6,0,14.3,0,117.471,16,0.696,0.925,2.313,2.166,0.315,6.026,5.775,5.618,27.5,2.428,0.144,5.118,7.208,0,9.822,0,22.161,0.344
106.18,5.899,10.634,17.418,11.807,55.6,44.4,0,0,22.457,66,32,1.091,1.839,2.718,2.396,0.708,3.192,6.514,7.405,6.81,4.123,0.068,6.822,0,0,0,0,35.7,8.653
45.1,4.51,4.602,9.753,5.29,70,20,10,0,0,15.312,2,0.271,0.408,1.707,1.5,0.654,2.346,2.653,1.905,5.963,0.455,0,1,0,0,0,0,14.667,0.03
187.86,23.483,5.631,8.109,6.989,50,25,0,0,0,47.309,4,0.418,1.964,1.946,1.986,0.835,1.935,58.286,71.231,5.348,-1.898,0,2,0,0,0,0,26.623,4.957
