MW,AMW,Sv,Se,Sp,H%,C%,N%,O%,D/Dtr06,ZM1Kup,CENT,Psi_e_1,X2v,VE1_A,VE1_Dz(Z),Chi_Dz(p),SpMAD_Dz(p),ATSC2m,ATSC3m,ATSC3s,Eta_F,Eta_B,SpMax_EA(ed),SM08_EA,SsOH,SdO,SsCl,AMR,MLOGP2
76.11,5.855,6.537,13.189,6.955,61.5,23.1,0,15.4,0,80.299,11,0.604,1.032,2.131,2.116,0.436,4.591,5.095,6.147,48.322,1.373,0.144,4.842,0,16.005,0,0,18.972,0.285
58.09,5.809,5.295,9.978,5.739,60,30,0,10,0,61.736,4,0.556,1.144,1.859,1.699,0.776,2.954,3.805,2.847,4.203,0.626,0.106,6.623,0.469,0,0,0,15.462,0.002
68.09,7.566,5.57,9.087,5.773,44.4,33.3,22.2,0,0,73.978,0,0.645,0.766,-99,1.846,0.848,2.585,2.82,2.873,5.336,2.428,0,4,0,0,0,0,19.745,0.134
102.04,12.755,5.114,9.702,4.034,25,25,0,0,0,368.444,20,1.534,0.749,2.285,2.322,0.269,8.366,3.035,3.862,108.255,3.252,0.353,9.823,8.85,0,0,0,12.019,3.301
80.07,20.018,3.332,5.058,3.011,0,0,0,75,0,162.067,6,0.52,0.612,1.932,1.414,0.75,2.667,0.336,0,0,1.943,0.182,4,0,0,8.444,0,-99,7.298
102.97,34.323,3.369,3.607,4.125,0,0,0,0,0,73.267,2,0.252,1.575,1.707,1.414,1.324,0.879,0.009,0,0,-0.017,0,1,0,0,0,9.361,20.066,0.713
146.07,20.867,5.067,9.803,3.557,0,0,0,0,0,541.527,30,-99,2.624,2.439,-99,0.402,5.967,0.363,0,0,5.499,0.965,25,0,0,0,0,16.801,1.86
134.97,26.994,4.799,6.262,5.034,0,0,0,40,0,168.738,12,0.872,4.047,2.121,1.414,1.298,1.647,3.912,0,0,2.684,0.414,9,0,0,18.326,8.535,20.914,0.244
73.16,4.573,7.655,15.52,8.813,68.8,25,6.3,0,0,29.312,12,0.598,2.366,2.121,-99,0.665,3.038,5.511,6.506,14.886,0.646,0.414,9,0,0,0,0,23.723,0.64
208.37,6.314,18.012,32.923,20.489,60.6,24.2,0,12.1,0,218.443,200,1.826,4.387,3.046,-99,0.282,8.33,19.031,23.391,22.186,4.148,0.171,12.641,0,0,0,0,48.255,0.063
72.12,5.548,6.822,12.862,7.5,61.5,30.8,0,7.7,0,63.736,0,0.692,1.319,-99,2.17,0.588,3.794,6.131,5.468,5.059,0.779,0,4,0.469,0,0,0,20.553,0.166
118.97,29.743,4.084,4.935,4.579,0,0,0,25,0,121.003,6,0.457,2.709,1.932,1.57,1.358,1.323,1.313,0,0,1.279,0.182,4,0,0,9.086,9.025,21.438,0.101
163.38,20.423,6.966,9.393,7.006,12.5,25,0,25,0,194.495,28,1.049,3.084,2.454,2.61,0.549,3.957,9.11,4.492,23.034,3.142,0.471,11.074,8.47,7.854,9.625,14.398,28.158,0.991
117.16,29.29,-99,4.626,5.437,0,0,0,0,0,88.977,6,0.429,2.227,1.932,1.414,1.394,1.076,0.789,0,0,0.21,0.182,4,0,0,0,14.417,18.409,1.86
119.37,23.874,4.536,5.738,5.097,20,20,0,0,0,90.61,6,0.429,2.227,1.932,1.423,0.937,1.888,8.292,0,0,0.423,0.182,4,4.079,0,0,14.417,21.367,3.301
101.22,4.601,10.709,21.287,12.335,68.2,27.3,4.5,0,0,43.645,33,0.832,1.62,2.449,-99,0.36,5.564,7.837,8.214,4.688,1.182,0.068,6.464,0.156,0,0,0,34.232,2.519
114.03,14.254,5.633,9.96,4.244,12.5,25,0,25,0,374.219,28,2.423,0.803,2.454,2.599,0.302,7.694,0.971,0.711,47.644,5.038,0.471,11.074,11.087,7.125,8.896,0,13.654,0.134
70.02,14.004,3.204,6.305,2.335,20,20,0,0,0,270.333,6,0.569,0.247,1.932,-99,0.265,7.18,1.869,0,0,1.788,0.182,4,8.85,0,0,0,6.863,1.243
103.93,6.496,-99,16.287,9.511,56.3,18.8,0,18.8,0,153.574,33,0.779,0.996,2.449,-99,0.326,6.802,7.504,3.657,5.627,2.932,0.068,6.464,0,0,0,0,21.947,1.876
59.13,4.548,6.129,12.636,7.051,69.2,23.1,7.7,0,0,31.645,6,0.4,1.342,1.932,-99,0.518,3.757,4.028,3.295,3.834,1.199,0.182,4,0.156,0,0,0,19.988,0.12
105.16,5.842,9.085,18.174,9.722,61.1,22.2,5.6,11.1,0,100.632,28,0.852,1.197,2.514,2.341,0.277,7.232,7.414,8.377,32,2.31,0,3.414,0.001,16.298,0,0,27.278,0.84
106.14,6.244,8.778,17.4,9.171,58.8,23.5,0,17.6,0,130.035,28,0.844,1.06,2.514,2.322,0.234,8.389,7.474,8.147,44.215,2.415,0,3.414,0.469,16.173,0,0,25.597,0.84
74.14,4.943,7.349,14.745,8.262,66.7,26.7,0,6.7,0,48.15,11,0.592,1.257,2.131,2.088,0.517,3.784,5.333,5.802,18.673,0.711,0.144,4.842,0,8.361,0,0,21.952,0.64
44.06,6.294,3.768,7.095,3.977,57.1,28.6,0,14.3,0,57.736,2,0.258,0.236,1.707,1.669,0.88,1.905,2.158,1.647,20.571,1.131,0,1,2.72,0,8.806,0,11.718,0.101
60.06,7.508,4.483,8.422,4.432,50,25,0,25,0,97.885,6,0.431,0.519,1.932,1.744,0.578,3.308,2.72,2.881,45.125,1.803,0.182,4,6.849,7.417,9,0,12.644,0.149
58.09,5.809,5.295,9.978,5.739,60,30,0,10,0,65.736,6,0.426,0.908,1.932,1.414,0.783,2.39,3.339,3.272,27.387,1.412,0.182,4,6.279,0,9.444,0,16.195,0.041
142.052,20.293,8.808,6.793,30.284,0,0,0,57.1,0,210.222,29,1.362,6.399,2.425,2.375,0.707,3.199,1.067,0.461,37.087,-4.476,0.353,9.945,0,0,19.049,0,-99,5.755
76.53,8.503,5.408,8.975,6.142,55.6,33.3,0,0,0,44.203,4,0.403,0.752,1.946,1.964,0.81,2.038,5.412,4.341,9.115,1.118,0,2,1.262,0,0,5.068,20.475,2.795
128.19,6.104,11.59,20.956,12.477,57.1,33.3,0,9.5,0,137.471,58,1.134,1.725,2.739,2.704,0.248,7.8,8.366,9.334,27.543,4.341,0.106,5.891,4.825,0,10.346,0,36.009,2.621
80.06,8.896,4.714,10.069,4.136,44.4,0,22.2,33.3,0,172.998,12,0.723,0.771,2.121,1.774,0.283,7.538,5.51,4.661,99.667,2.951,0.414,9,2.064,0,8.931,0,-99,35.415
153.81,30.762,5.364,6.062,5.954,0,20,0,0,0,124.814,12,0.631,3.857,2.121,1.44,0.921,2.142,0.914,0,0,0.549,0.414,9,7.299,0,0,19.306,26.849,4.957
86.47,17.294,3.648,6.116,3.256,20,20,0,0,0,210.426,6,0.497,0.577,1.932,1.414,0.35,5.59,2.885,0,0,1.397,0.182,4,8.937,0,0,3.941,11.698,1.86
209.953,20.995,-99,9.96,46,0,0,0,0,0,526.846,80,1.203,46.635,2.966,2.863,0.053,41.462,0.276,0.248,12.692,-15.065,0,3.742,0,0,0,0,-99,1.86
84.93,16.986,3.709,5.415,4.239,40,20,0,0,0,58.407,2,0.262,0.909,1.707,1.392,0.973,1.487,12.313,0,0,0.311,0,1,2.262,0,0,9.528,16.438,1.86
74.14,4.943,7.349,14.745,8.262,66.7,26.7,0,6.7,0,57.736,10,0.537,0.781,2.155,1.914,0.318,5.64,5.42,4.559,6.671,0.888,0,2.732,0.469,0,0,0,22.509,0.64
147.43,13.403,7.59,11.506,8.619,45.5,27.3,0,0,0,102.61,20,0.776,3.485,2.285,2.272,0.699,2.899,15.858,18.751,21.146,0.462,0.353,9.823,4.079,0,0,15.745,30.893,6.781
92.11,6.579,7.252,14.516,7.409,57.1,21.4,0,21.4,0,116.449,20,0.782,1.019,2.301,1.977,0.37,5.708,5.759,7.735,80.194,2.188,0.106,5.653,0,24.016,0,0,20.516,1.876
138.02,17.253,5.88,10.727,3.909,0,25,0,0,0,554.667,36,-99,0.996,2.603,2.816,0.243,9.809,0.508,0.191,25.629,5.914,0.664,13.817,9.543,0,0,0,12.869,4.957
151.911,18.989,6.294,9.967,17.779,0,0,0,0,0,535.632,44,-99,3.382,2.556,2.264,0.486,5.074,1.001,0.005,48.462,5.473,0.877,25.854,0,0,0,0,-99,1.86
98.06,10.896,6.671,9.866,6.125,22.2,44.4,0,33.3,0,193.207,12,1.026,1.073,2.427,2.269,0.483,5.106,0.85,2.387,45.572,4.644,0.212,7.093,5.963,0,19.847,0,21.552,0.252
50.49,10.098,2.881,5.091,3.381,60,20,0,0,0,28.203,0,0.119,0,1.414,1.318,1.113,0.813,6.51,0,0,0.203,-99,0,0,0,0,4.639,11.312,0.713
58.14,4.153,6.634,13.418,7.807,71.4,28.6,0,0,0,10,4,0.423,1,1.946,1.848,0.658,2.581,3.801,3.236,2.393,0,0,2,0,0,0,0,20.206,7.447
142.28,5.081,14.257,27.272,16.103,64.3,28.6,7.1,0,30.514,72.666,64,1.419,3.075,2.937,2.955,0.385,6.253,12.237,15.241,8.52,2.329,0.119,8.924,0.003,0,0,0,43.5,1.002
108.16,6.76,9.623,15.854,10.296,50,37.5,12.5,0,22.133,88.624,12,1.111,1.667,2.742,2.494,0.669,3.696,5.172,6.592,12.939,5.494,0.212,6.623,0,0,0,0,35.459,0.798
136.17,6.484,11.02,21.611,11.386,57.1,23.8,0,19,0,164.599,68,1.32,2.132,2.679,-99,0.352,6.673,8.965,11.908,53.097,3.9,0.171,12.325,0,33.986,0,0,31.728,1.729
72.17,4.245,8.161,16.302,9.568,70.6,29.4,0,0,0,14,10,0.567,1.354,2.155,1.946,0.548,3.315,5.042,4.726,2.574,0,0,2.732,0,0,0,0,24.807,9.85
142.28,5.081,14.257,27.272,16.103,64.3,28.6,7.1,0,30.514,72.666,64,1.419,3.075,2.937,2.955,0.385,6.253,12.237,15.241,8.52,2.329,0.119,8.924,0.003,0,0,0,43.5,1.002
142.28,5.081,14.257,27.272,16.103,64.3,28.6,7.1,0,30.514,72.666,64,1.419,3.075,2.937,2.955,0.385,6.253,12.237,15.241,8.52,2.329,0.119,8.924,0.003,0,0,0,43.5,1.002
108.16,6.76,9.623,15.854,10.296,50,37.5,12.5,0,22.133,88.624,12,1.111,1.667,2.742,2.494,0.669,3.696,5.172,6.592,12.939,5.494,0.212,6.623,0,0,0,0,35.459,0.798
169.89,33.978,6.248,5.84,8.011,0,0,0,0,0,116.314,12,0.742,11.571,2.121,-99,2.129,0.749,0.09,0,0,-0.377,0.414,9,0,0,0,19.861,24.545,3.301
98.09,14.013,4.573,8.269,4.227,28.6,0,0,57.1,0,180.631,12,1.199,1.344,2.121,1.414,0.8,2.839,3.42,1.075,47.635,3.407,0.414,9,9.211,14.097,17.486,0,13.771,5.755
165.82,27.637,6.364,7.062,6.954,0,33.3,0,0,0,140.814,16,0.716,2.42,2.309,2.449,0.856,2.405,4.232,1.693,2.656,1.351,0.271,6.745,2.901,0,0,19.975,30.945,6.047
102.04,12.755,5.114,9.702,4.034,25,25,0,0,0,368.444,20,1.534,0.749,2.285,2.322,0.269,8.366,3.035,3.862,108.255,3.252,0.353,9.823,8.85,0,0,0,12.019,3.301
92.15,6.143,9.107,14.534,10.046,53.3,46.7,0,0,18.267,62,14,0.947,1.655,2.594,2.214,0.863,2.513,5.171,5.682,6.296,3.841,0.106,6.124,0,0,0,0,31.099,6.802
131.38,21.897,5.536,6.738,6.097,16.7,33.3,0,0,0,106.61,11,0.547,1.625,2.131,2.201,0.911,2.136,7.455,6.472,7.951,1.213,0.144,4.842,2.262,0,0,14.824,25.262,4.332
147.43,13.403,7.59,11.506,8.619,45.5,27.3,0,0,0,102.61,20,0.776,3.485,2.285,2.272,0.699,2.899,15.858,18.751,21.146,0.462,0.353,9.823,4.079,0,0,15.745,30.893,6.781
265.47,14.748,15.207,19.604,15.221,16.7,50,0,16.7,51.143,347.817,168,2.345,3.65,3.497,-99,0.432,5.56,3.978,6.098,66.034,13.465,0.586,9.347,7.073,0,32.555,15.626,57.909,3.789
106.18,5.899,10.634,17.418,11.807,55.6,44.4,0,0,22.133,70,24,1.094,2.084,2.722,2.564,0.784,2.889,6.483,7.125,6.866,4.265,0.195,7.95,0,0,0,0,36.14,8.653
42.09,4.677,4.58,8.651,5.284,66.7,33.3,0,0,0,14,2,0.261,0.408,1.707,1.627,1.094,1.371,2.051,1.398,3.556,0.837,0,1,0,0,0,0,15.649,1.486
